country,value
Afghanistan,31
Angola,40.1
Albania,52.2
United Arab Emirates,51.6
Argentina,47
Armenia,44.9
Antigua and Barbuda,55.6
Australia,63.1
Austria,68.9
Azerbaijan,40.5
Burundi,33.5
Belgium,66.8
Benin,37.8
Burkina Faso,42.2
Bangladesh,28.1
Bulgaria,56.2
Bahrain,35.3
Bahamas,55.9
Bosnia and Herzegovina,46
Belarus,58.2
Belize,47.4
Bolivia,45.3
Brazil,53
Barbados,53.1
Brunei,48.3
Bhutan,43.3
Botswana,49.2
Central African Republic,39
Canada,61.1
Switzerland,67.8
Chile,49.6
China,35.4
Ivory Coast,42.9
Cameroon,38.6
Democratic Republic of the Congo,39.5
Republic of the Congo,41.6
Colombia,49.7
Comoros,38.2
Cape Verde,38
Costa Rica,55.5
Cuba,52.5
Cyprus,53.9
Czech Republic,65.5
Germany,74.5
Djibouti,32.3
Dominica,49.3
Denmark,67.7
Dominican Republic,47.7
Algeria,41.7
Ecuador,51.3
Egypt,43.7
Eritrea,29
Spain,64
Estonia,75.7
Ethiopia,36.3
Finland,73.8
Fiji,46
France,67
Federated States of Micronesia,40.8
Gabon,53.3
United Kingdom,72.6
Georgia,47.3
Ghana,36.9
Guinea,36.5
Gambia,37.6
Guinea-Bissau,42
Equatorial Guinea,41.7
Greece,67.3
Grenada,45.8
Guatemala,32.5
Guyana,49
Honduras,40.2
Croatia,62.3
Haiti,36.4
Hungary,59.8
Indonesia,33.6
India,27.6
Ireland,65.8
Iran,41.8
Iraq,30.3
Iceland,64.3
Israel,48
Italy,60.3
Jamaica,48.5
Jordan,47.3
Japan,61.4
Kazakhstan,47.8
Kenya,36.9
Kyrgyzstan,42.8
Cambodia,31.2
Kiribati,44.3
South Korea,50.6
Kuwait,44.4
Laos,26.3
Lebanon,39.9
Liberia,34.3
Saint Lucia,51.1
Sri Lanka,38.8
Lesotho,36.9
Lithuania,64.1
Luxembourg,75.1
Latvia,60.2
Morocco,39.5
Moldova,46.1
Madagascar,30.1
Maldives,38.1
Mexico,44.2
Marshall Islands,42.5
North Macedonia,50.3
Mali,34.5
Malta,66.9
Myanmar,27.1
Montenegro,47.7
Mongolia,37.2
Mozambique,39
Mauritania,34.6
Mauritius,47.3
Malawi,35.1
Malaysia,41
Namibia,44
Niger,40
Nigeria,37.9
Nicaragua,47.4
Netherlands,66.9
Norway,69.9
Nepal,33.1
New Zealand,57.3
Oman,51.3
Pakistan,25.5
Panama,52.9
Peru,46.5
Philippines,32.1
Papua New Guinea,36.9
Poland,64.2
Portugal,61.9
Paraguay,39.5
Qatar,46.8
Romania,57.3
Russia,46.7
Rwanda,33.9
Saudi Arabia,42.5
Sudan,39.1
Senegal,43.8
Singapore,53
Solomon Islands,42.2
Sierra Leone,39.9
El Salvador,41.6
Serbia,49.8
São Tomé and Príncipe,36.2
Suriname,56.9
Slovakia,65.1
Slovenia,62.4
Sweden,70.3
Eswatini,38.7
Seychelles,47.9
Chad,35.9
Togo,35.7
Thailand,45.7
Tajikistan,32.3
Turkmenistan,40.6
Timor-Leste,49.9
Tonga,40.4
Trinidad and Tobago,52.5
Tunisia,45.3
Taiwan,50.1
Tanzania,43.6
Uganda,35.8
Ukraine,54.6
Uruguay,44.1
United States,57.2
Uzbekistan,42.6
Saint Vincent and the Grenadines,54.2
Venezuela,53.3
Vietnam,24.6
Vanuatu,45
Samoa,47.1
South Africa,42.7
Zambia,46.7
Zimbabwe,51.6
