country,HappinessScore
India,4.05
China,5.97
United States,6.73
Indonesia,5.57
Pakistan,4.66
Nigeria,4.88
Brazil,6.27
Bangladesh,3.89
Russia,5.79
Ethiopia,3.86
Mexico,6.68
Japan,6.06
Egypt,3.98
Philippines,6.05
DR Congo,3.3
Vietnam,6.04
Iran,4.92
Turkey,4.98
Germany,6.72
Thailand,5.98
United Kingdom,6.75
Tanzania,3.78
France,6.61
South Africa,5.42
Italy,6.32
Kenya,4.47
Myanmar,4.35
Colombia,5.7
South Korea,6.06
Uganda,4.37
Spain,6.42
Algeria,5.36
Iraq,5.17
Argentina,6.19
Afghanistan,1.72
Yemen,3.56
Canada,6.9
Poland,6.44
Morocco,4.8
Ukraine,4.87
Uzbekistan,6.2
Malaysia,5.98
Mozambique,5.22
Ghana,4.29
Peru,5.84
Saudi Arabia,6.59
Madagascar,4.23
Ivory Coast,5.08
Nepal,5.16
Cameroon,4.87
Venezuela,5.61
Niger,4.56
Australia,7.06
Mali,4.23
Burkina Faso,4.55
Taiwan,6.5
Sri Lanka,3.9
Malawi,3.42
Zambia,3.5
Kazakhstan,6.19
Chad,4.47
Chile,6.36
Romania,6.49
Senegal,4.97
Guatemala,6.29
Netherlands,7.32
Ecuador,5.73
Cambodia,4.34
Zimbabwe,3.34
Guinea,5.02
Benin,4.38
Bolivia,5.78
Tunisia,4.42
Belgium,6.89
Jordan,4.19
Dominican Republic,5.82
United Arab Emirates,6.73
Honduras,5.97
Czech Republic,6.82
Sweden,7.34
Tajikistan,5.28
Portugal,6.03
Azerbaijan,4.89
Greece,5.93
Hungary,6.02
Togo,4.21
Israel,7.34
Austria,6.91
Switzerland,7.06
Sierra Leone,3.25
Laos,5.14
Hong Kong,5.32
Libya,5.87
Paraguay,5.98
Nicaragua,6.28
Bulgaria,5.46
Serbia,6.41
El Salvador,6.47
Republic of the Congo,5.22
Denmark,7.58
Singapore,6.52
Lebanon,2.71
Finland,7.74
Liberia,4.27
Norway,7.3
Slovakia,6.26
Palestine,4.88
Ireland,6.84
New Zealand,7.03
Mauritania,4.51
Costa Rica,6.96
Kuwait,6.95
Panama,6.36
Croatia,5.94
Georgia,5.19
Mongolia,5.7
Uruguay,6.61
Bosnia and Herzegovina,5.88
Moldova,5.82
Namibia,4.83
Armenia,5.46
Lithuania,6.82
Jamaica,5.84
Albania,5.3
Gambia,4.49
Gabon,5.11
Botswana,3.38
Lesotho,3.19
Slovenia,6.74
Latvia,6.23
North Macedonia,5.37
Bahrain,5.96
Estonia,6.45
Cyprus,6.07
Mauritius,5.82
Eswatini,3.5
Comoros,3.57
Luxembourg,7.12
Montenegro,5.71
Malta,6.35
Iceland,7.53
